State_ID,Visit_Count
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2179.505, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2261.035, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 2627.925, 1200.0, 1389.925, 3796.935, 2333.158, 0.0, 0.0, 0.0, 2627.925)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2083.18, 0.0, 0.0, 0.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2009.369, 0.0, 0.0, 1.0, 2417.196)",10
"(0.0, 1.0, 0.0, 0.0, 0.0, 0.333, 0.333, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2453.204, 0.0, 0.0, -1.0, 2417.196)",10
"(0.0, 1.0, 0.0, 0.0, 0.0, 0.333, 0.667, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2421.016, 0.0, 0.0, 0.0, 2417.196)",10
"(0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.667, 0.0, 0.333, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2485.608, 0.0, 0.0, 0.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.333, 0.0, 0.333, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2370.212, 0.0, 0.0, 1.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.333, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2469.591, 0.0, 0.0, 0.0, 2417.196)",10
"(1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2578.994, 0.0, 0.0, 0.0, 2417.196)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.667, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 2266.327, 0.0, 0.0, -1.0, 2417.196)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 1469.094, 0.0, 0.0, 0.0, 2417.196)",10
"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2417.196, 1200.0, 1173.196, 3540.944, 563.178, 0.0, 0.0, 0.0, 2417.196)",10
